feature,importance
market_cap,0.05336969444980974
float_shares,0.03593273223220597
avg_volume,0.025710010286483898
beta,0.04296040504606274
recent_volume,0.021875825586743298
float_ratio,0.05341227852481642
sector_performance,0.009315938329758381
day_of_week,0.051145168157096646
hour,0.06843576028046093
combined_sentiment,0.11407789528405526
prev_news_sentiment,0.12181169919211886
volatility,0.04613799228024603
days_since_event,0.1386592701115932
event_Patents,0.0020708158491189337
event_advisory,0.0006260034872524246
event_annual_general_meeting,0.0033456374438371943
event_annual_report,8.890355982037244e-05
event_bankruptcy,9.928753594206454e-06
event_bond_fixing,2.87705972112766e-05
event_business_contracts,0.0007009739543643405
event_capital_investment,0.0027234375285379937
event_changes_in_companys_own_shares,0.0003640740287809974
event_changes_in_share_capital_and_votes,0.00038032350512438986
event_clinical_study,0.015204550545849928
event_company_regulatory_filings,0.0015170123464924288
event_conference_call_webinar,0.008335870671957978
event_contests_awards,0.00032414200032995376
event_corporate_action,0.005462501972799884
event_delisting_notice,0.0027021949598525306
event_divestiture,0.00021431754256880708
event_dividend_reports_and_estimates,0.0006147391982547387
event_earnings_releases_and_operating_results,0.006520918641891277
event_environmental_social_governance,0.0009681771774538449
event_exchange_announcement,0.004532753230874341
event_extraordinary_general_meeting,5.056239977992533e-05
event_financial_calendar,0.0006019974400656094
event_financial_results,0.013536949675814047
event_financing_agreements,0.008065553885696164
event_fund_data_announcement,0.0004968343087956019
event_geographic_expansion,0.00020491429417798698
event_government_news,8.456738636795356e-05
event_initial_public_offerings,1.931585396769152e-08
event_interim_information,0.0035161731397507783
event_joint_venture,1.7087504737303356e-05
event_law_legal_issues,0.0005347040119244565
event_licensing_agreements,0.005248062774703101
event_major_shareholder_announcements,0.00023551639004109733
event_management_changes,0.004969159855693748
event_management_statements,0.002304461728605926
event_managers_transactions,3.659432748122947e-07
event_mergers_acquisitions,0.0038519106962626535
event_nomination_committee,9.709049725919964e-06
event_observation_status,1.951461109650412e-05
event_partnerships,0.006566918525008997
event_patents,0.0011557781661541604
event_press_releases,0.005332358144609309
event_product_services_announcement,0.00962021383094798
event_production_services_announcement,0.00163094814731449
event_prospectus_announcement,0.0010544646888537175
event_regulatory_filings,0.002994832162887975
event_research_analysis_and_reports,2.9846174031143475e-05
event_restructuring,3.9241376765548535e-05
event_reverse_stock_split,0.0006000847116649128
event_share_capital_increase,0.0007256246290270101
event_shares_issue,0.012423751911293312
event_tenders_offers,2.444111698595246e-06
event_trade_show,0.0007375597894305628
event_trading_information,9.897910764761512e-05
event_voting_rights,0.0005167939562104738
event_warrants_and_certificates,0.002389117523511443
exchange_AMS,3.9654855325176676e-05
exchange_ASE,0.002419650246014453
exchange_ASX,7.598812269039665e-05
exchange_BRU,0.00018130131851774902
exchange_CNQ,1.0503073356337509e-05
exchange_CPH,0.00010813253062725686
exchange_EBS,4.572671086629632e-05
exchange_FRA,0.00011026224351085124
exchange_GER,0.00037432912146952933
exchange_HEL,0.0007423889925447475
exchange_ICE,2.8395465823383595e-05
exchange_MIL,1.4930789968376356e-05
exchange_NCM,0.006618083179595757
exchange_NGM,0.003317983806052243
exchange_NMS,0.0026634574439359376
exchange_NYQ,0.001927293956171705
exchange_OQB,0.0008233682533545773
exchange_OSL,0.0004669407443045285
exchange_PAR,0.0010459634497425544
exchange_PCX,3.956452937636792e-06
exchange_PNK,0.002059766234888214
exchange_STO,5.236519263988897e-06
exchange_Unknown,0.002749825311494919
exchange_YHD,0.007882196577577143
sector_Communication Services,2.0004824204663524e-05
sector_Consumer Cyclical,8.38365181084958e-05
sector_Consumer Defensive,0.0001237237866161241
sector_Energy,0.0001385340023742554
sector_Financial Services,0.0006111714074391465
sector_Healthcare,0.0016172539276684192
sector_Industrials,0.00011676879303564197
sector_Real Estate,1.6817256030149066e-05
sector_Technology,0.00018022003892427952
sector_Utilities,9.291881454343826e-06
industry_Aerospace & Defense,1.4953761680485117e-05
industry_Airlines,8.79092381484436e-06
industry_Aluminum,1.0221888395617766e-06
industry_Asset Management,0.0009584431742222204
industry_Auto & Truck Dealerships,3.0241449665345285e-07
industry_Banks - Regional,1.8210157921822443e-05
industry_Beverages - Non-Alcoholic,6.086235317647472e-06
industry_Biotechnology,0.004650079611385077
industry_Credit Services,1.0097610076387039e-06
industry_Diagnostics & Research,0.0018126674957946066
industry_Discount Stores,0.0005117409068898134
industry_Drug Manufacturers - General,0.0003052318308472898
industry_Drug Manufacturers - Specialty & Generic,0.001345044708812686
industry_Electronic Components,0.006586449139976098
industry_Engineering & Construction,2.13471538002925e-06
industry_Farm Products,1.137595547718202e-05
industry_Health Information Services,1.3988751103630552e-06
industry_Home Improvement Retail,0.0002280176690519843
industry_Industrial Distribution,0.00020121511749749375
industry_Information Technology Services,4.8725005167972284e-05
industry_Insurance - Specialty,9.201996393141549e-07
industry_Internet Retail,4.2440533281074477e-07
industry_Marine Shipping,0.00018999501116340992
industry_Medical Care Facilities,6.651634275626523e-07
industry_Medical Devices,0.0012034784527867124
industry_Medical Distribution,5.036938385201026e-05
industry_Medical Instruments & Supplies,2.2653861824484514e-05
industry_Oil & Gas Drilling,2.4169528856445163e-05
industry_Oil & Gas E&P,5.716740648309172e-06
industry_Oil & Gas Equipment & Services,2.4608485559302996e-05
industry_Oil & Gas Integrated,2.1900432873416382e-05
industry_Oil & Gas Midstream,0.00024913484269479115
industry_Oil & Gas Refining & Marketing,5.501116078500021e-06
industry_Packaging & Containers,3.482570223242916e-05
industry_Publishing,6.120223539675728e-05
industry_REIT - Industrial,3.6198237292513774e-07
industry_REIT - Specialty,2.3618693397448385e-06
industry_Real Estate Services,6.9046196097379175e-06
industry_Security & Protection Services,2.2901493141835184e-06
industry_Semiconductor Equipment & Materials,1.620818305776193e-05
industry_Semiconductors,9.716227297792414e-06
industry_Software - Application,8.466470194460517e-05
industry_Software - Infrastructure,8.695792546705657e-05
industry_Solar,1.1891433660324827e-05
industry_Specialty Business Services,2.795111696963136e-06
industry_Specialty Industrial Machinery,0.011175866185728465
industry_Specialty Retail,8.048262339241764e-05
industry_Steel,6.961656520092842e-07
industry_Telecom Services,1.489787170148337e-07
industry_Utilities - Renewable,1.1599960838298632e-06
industry_Waste Management,3.576024052954907e-07
market_cap_category_Large,0.00014205917187344537
market_cap_category_Mid,0.0010691935178442852
market_cap_category_Small,0.0028167223807510767
